2025-03-04 21:28:17,848 - Server - INFO - Sent global model to client ('127.0.0.1', 63816)
2025-03-04 21:28:18,048 - Server - INFO - Expecting 89076 bytes from client ('127.0.0.1', 63816)
2025-03-04 21:28:18,048 - Server - ERROR - Error handling client ('127.0.0.1', 63816): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:28:28,050 - Server - INFO - Client connected from ('127.0.0.1', 63821)
2025-03-04 21:28:28,052 - Server - INFO - Sent global model to client ('127.0.0.1', 63821)
2025-03-04 21:28:28,238 - Server - INFO - Expecting 89135 bytes from client ('127.0.0.1', 63821)
2025-03-04 21:28:28,238 - Server - ERROR - Error handling client ('127.0.0.1', 63821): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:28:38,241 - Server - INFO - Client connected from ('127.0.0.1', 63826)
2025-03-04 21:28:38,243 - Server - INFO - Sent global model to client ('127.0.0.1', 63826)
2025-03-04 21:28:38,455 - Server - INFO - Expecting 89117 bytes from client ('127.0.0.1', 63826)
2025-03-04 21:28:38,455 - Server - ERROR - Error handling client ('127.0.0.1', 63826): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:28:48,458 - Server - INFO - Client connected from ('127.0.0.1', 63830)
2025-03-04 21:28:48,460 - Server - INFO - Sent global model to client ('127.0.0.1', 63830)
2025-03-04 21:28:48,679 - Server - INFO - Expecting 89093 bytes from client ('127.0.0.1', 63830)
2025-03-04 21:28:48,679 - Server - ERROR - Error handling client ('127.0.0.1', 63830): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:28:58,682 - Server - INFO - Client connected from ('127.0.0.1', 63855)
2025-03-04 21:28:58,684 - Server - INFO - Sent global model to client ('127.0.0.1', 63855)
2025-03-04 21:28:58,893 - Server - INFO - Expecting 89079 bytes from client ('127.0.0.1', 63855)
2025-03-04 21:28:58,893 - Server - ERROR - Error handling client ('127.0.0.1', 63855): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:29:08,896 - Server - INFO - Client connected from ('127.0.0.1', 63860)
2025-03-04 21:29:08,898 - Server - INFO - Sent global model to client ('127.0.0.1', 63860)
2025-03-04 21:29:09,114 - Server - INFO - Expecting 89065 bytes from client ('127.0.0.1', 63860)
2025-03-04 21:29:09,114 - Server - ERROR - Error handling client ('127.0.0.1', 63860): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:29:19,117 - Server - INFO - Client connected from ('127.0.0.1', 63868)
2025-03-04 21:29:19,119 - Server - INFO - Sent global model to client ('127.0.0.1', 63868)
2025-03-04 21:29:19,325 - Server - INFO - Expecting 89099 bytes from client ('127.0.0.1', 63868)
2025-03-04 21:29:19,325 - Server - ERROR - Error handling client ('127.0.0.1', 63868): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:29:29,328 - Server - INFO - Client connected from ('127.0.0.1', 63875)
2025-03-04 21:29:29,330 - Server - INFO - Sent global model to client ('127.0.0.1', 63875)
2025-03-04 21:29:29,546 - Server - INFO - Expecting 89061 bytes from client ('127.0.0.1', 63875)
2025-03-04 21:29:29,547 - Server - ERROR - Error handling client ('127.0.0.1', 63875): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:29:39,550 - Server - INFO - Client connected from ('127.0.0.1', 63880)
2025-03-04 21:29:39,554 - Server - INFO - Sent global model to client ('127.0.0.1', 63880)
2025-03-04 21:29:39,771 - Server - INFO - Expecting 89119 bytes from client ('127.0.0.1', 63880)
2025-03-04 21:29:39,772 - Server - ERROR - Error handling client ('127.0.0.1', 63880): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:29:49,775 - Server - INFO - Client connected from ('127.0.0.1', 63885)
2025-03-04 21:29:49,777 - Server - INFO - Sent global model to client ('127.0.0.1', 63885)
2025-03-04 21:29:49,988 - Server - INFO - Expecting 89066 bytes from client ('127.0.0.1', 63885)
2025-03-04 21:29:49,988 - Server - ERROR - Error handling client ('127.0.0.1', 63885): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:29:59,991 - Server - INFO - Client connected from ('127.0.0.1', 63892)
2025-03-04 21:29:59,993 - Server - INFO - Sent global model to client ('127.0.0.1', 63892)
2025-03-04 21:30:00,189 - Server - INFO - Expecting 89144 bytes from client ('127.0.0.1', 63892)
2025-03-04 21:30:00,190 - Server - ERROR - Error handling client ('127.0.0.1', 63892): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:30:10,192 - Server - INFO - Client connected from ('127.0.0.1', 63897)
2025-03-04 21:30:10,194 - Server - INFO - Sent global model to client ('127.0.0.1', 63897)
2025-03-04 21:30:10,399 - Server - INFO - Expecting 89055 bytes from client ('127.0.0.1', 63897)
2025-03-04 21:30:10,400 - Server - ERROR - Error handling client ('127.0.0.1', 63897): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:30:20,402 - Server - INFO - Client connected from ('127.0.0.1', 63902)
2025-03-04 21:30:20,404 - Server - INFO - Sent global model to client ('127.0.0.1', 63902)
2025-03-04 21:30:20,619 - Server - INFO - Expecting 89108 bytes from client ('127.0.0.1', 63902)
2025-03-04 21:30:20,620 - Server - ERROR - Error handling client ('127.0.0.1', 63902): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:30:30,622 - Server - INFO - Client connected from ('127.0.0.1', 63907)
2025-03-04 21:30:30,624 - Server - INFO - Sent global model to client ('127.0.0.1', 63907)
2025-03-04 21:30:30,825 - Server - INFO - Expecting 89083 bytes from client ('127.0.0.1', 63907)
2025-03-04 21:30:30,826 - Server - ERROR - Error handling client ('127.0.0.1', 63907): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:30:40,828 - Server - INFO - Client connected from ('127.0.0.1', 63918)
2025-03-04 21:30:40,830 - Server - INFO - Sent global model to client ('127.0.0.1', 63918)
2025-03-04 21:30:41,044 - Server - INFO - Expecting 89148 bytes from client ('127.0.0.1', 63918)
2025-03-04 21:30:41,044 - Server - ERROR - Error handling client ('127.0.0.1', 63918): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:30:51,047 - Server - INFO - Client connected from ('127.0.0.1', 63923)
2025-03-04 21:30:51,050 - Server - INFO - Sent global model to client ('127.0.0.1', 63923)
2025-03-04 21:30:51,353 - Server - INFO - Expecting 89074 bytes from client ('127.0.0.1', 63923)
2025-03-04 21:30:51,354 - Server - ERROR - Error handling client ('127.0.0.1', 63923): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:31:01,356 - Server - INFO - Client connected from ('127.0.0.1', 63931)
2025-03-04 21:31:01,358 - Server - INFO - Sent global model to client ('127.0.0.1', 63931)
2025-03-04 21:31:01,565 - Server - INFO - Expecting 89095 bytes from client ('127.0.0.1', 63931)
2025-03-04 21:31:01,565 - Server - ERROR - Error handling client ('127.0.0.1', 63931): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:31:11,568 - Server - INFO - Client connected from ('127.0.0.1', 63937)
2025-03-04 21:31:11,573 - Server - INFO - Sent global model to client ('127.0.0.1', 63937)
2025-03-04 21:31:11,804 - Server - INFO - Expecting 89055 bytes from client ('127.0.0.1', 63937)
2025-03-04 21:31:11,804 - Server - ERROR - Error handling client ('127.0.0.1', 63937): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:31:21,806 - Server - INFO - Client connected from ('127.0.0.1', 63943)
2025-03-04 21:31:21,808 - Server - INFO - Sent global model to client ('127.0.0.1', 63943)
2025-03-04 21:31:22,005 - Server - INFO - Expecting 89147 bytes from client ('127.0.0.1', 63943)
2025-03-04 21:31:22,005 - Server - ERROR - Error handling client ('127.0.0.1', 63943): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:31:32,008 - Server - INFO - Client connected from ('127.0.0.1', 63950)
2025-03-04 21:31:32,010 - Server - INFO - Sent global model to client ('127.0.0.1', 63950)
2025-03-04 21:31:32,231 - Server - INFO - Expecting 89083 bytes from client ('127.0.0.1', 63950)
2025-03-04 21:31:32,232 - Server - ERROR - Error handling client ('127.0.0.1', 63950): cannot access local variable 'received_data' where it is not associated with a value
2025-03-04 21:31:42,234 - Server - INFO - Client connected from ('127.0.0.1', 63956)
